npmPackageName,slug,repoArchived,READMEKeyword,READMEBadge,activityBasedAbandoned,maxNumDownloads,isAbandoned,numStars
project-name-generator,aceakash/project-name-generator,0,0,0,0,60769,0,193
string-similarity,aceakash/string-similarity,0,0,0,0,3022505,0,2515
bower-license,AceMetrix/bower-license,0,0,0,0,16407,0,15
jquery-deparam,AceMetrix/jquery-deparam,0,0,0,0,42347,0,53
package-license,AceMetrix/package-license,0,0,0,0,25294,0,7
it-glob,achingbrain/it,0,0,0,0,110656,0,264
mortice,achingbrain/mortice,0,0,0,0,28828,0,5
native-abort-controller,achingbrain/native-abort-controller,0,0,0,0,32443,0,2
native-fetch,achingbrain/native-fetch,0,0,0,0,35470,0,4
uint8arrays,achingbrain/uint8arrays,0,0,0,0,158736,0,33
create-svg-sprite,achwilko/create-svg-sprite,0,0,0,0,10842,0,7
agm-overlays,ackerapple/agm-overlays,0,0,0,0,11434,0,25
angular-file,ackerapple/angular-file,0,0,0,0,34845,0,125
@paprika/tokens,acl-services/paprika,0,0,0,0,125300,0,54
serverless-plugin-aws-alerts,ACloudGuru/serverless-plugin-aws-alerts,0,0,0,0,168784,0,527
drakov,Aconex/drakov,0,0,0,0,68831,0,479
jjv,acornejo/jjv,0,0,0,0,46434,0,196
acorn-bigint,acornjs/acorn-bigint,1,0,0,0,277914,1,10
acorn-class-fields,acornjs/acorn-class-fields,0,0,0,0,426861,0,15
acorn-jsx,acornjs/acorn-jsx,0,0,0,0,56768470,0,632
acorn-logical-assignment,acornjs/acorn-logical-assignment,1,0,0,0,202040,1,2
acorn-numeric-separator,acornjs/acorn-numeric-separator,1,0,0,0,319048,1,7
acorn-private-class-elements,acornjs/acorn-private-class-elements,0,0,0,0,379066,0,5
acorn-private-methods,acornjs/acorn-private-methods,0,0,0,0,323543,0,12
acorn-stage3,acornjs/acorn-stage3,0,0,0,0,296934,0,18
acorn-static-class-features,acornjs/acorn-static-class-features,0,0,0,0,366586,0,7
dpdm,acrazing/dpdm,0,0,0,0,19505,0,597
typed-graphqlify,acro5piano/typed-graphqlify,0,0,0,0,14392,0,648
deep-get-set,acstll/deep-get-set,0,0,0,0,18443,0,23
hcg-color,acterhd/hcg-color,0,0,0,0,13127,0,44
actionhero,actionhero/actionhero,0,0,0,0,23176,0,2386
browser_fingerprint,actionhero/browser_fingerprint,0,0,0,0,21875,0,57
node-resque,actionhero/node-resque,0,0,0,0,103573,0,1325
style-builder,ActionIQ/style-builder,0,0,0,0,68065,0,23
actions-on-google,actions-on-google/actions-on-google-nodejs,0,1,0,0,200402,0,901
@assistant/conversation,actions-on-google/assistant-conversation-nodejs,0,1,0,0,12626,0,103
@actions/http-client,actions/http-client,1,0,0,0,1039355,0,69
@activeadmin/activeadmin,activeadmin/activeadmin,0,0,0,0,37088,0,9429
activecampaign,ActiveCampaign/activecampaign-api-nodejs,0,0,0,1,23087,1,39
camp-css,activecampaign/camp-css,1,0,0,0,22500,1,7
leadconduit-integration,activeprospect/leadconduit-integration,0,0,0,0,11479,0,0
actor-js,actorapp/ActorSDK-JavaScript,1,0,0,1,16976,1,5
actor-sdk,actorapp/ActorSDK-Web,1,0,NA,1,1413912,1,15
@actra-development-oss/redux-persist-transform-filter-immutable,actra-development-oss/redux-persist-transform-filter-immutable,0,0,0,1,14562,1,22
a2r,acttoreact/a2r,0,0,0,0,13492,0,0
acuityscheduling,acuityscheduling/acuity-js,0,0,0,0,10620,0,33
yadda,acuminous/yadda,0,0,0,0,36087,0,413
sinon-chrome,acvetkov/sinon-chrome,0,0,0,0,28778,0,432
shaven,ad-si/shaven,0,0,0,0,138790,0,68
jest-bamboo-formatter,adalbertoteixeira/jest-bamboo-formatter,0,0,0,0,25803,0,14
csv,adaltas/node-csv,0,0,0,0,1816713,0,3804
csv-generate,adaltas/node-csv-generate,1,0,0,0,1740712,0,71
csv-stringify,adaltas/node-csv-stringify,1,0,0,0,3195229,0,187
each,adaltas/node-each,0,0,0,0,16211,0,25
http-status,adaltas/node-http-status,0,0,0,0,1621416,0,433
mixme,adaltas/node-mixme,0,0,0,0,1166968,0,3
pad,adaltas/node-pad,0,0,0,0,2815397,0,43
printf,adaltas/node-printf,0,0,0,0,857310,0,90
stream-transform,adaltas/node-stream-transform,1,0,0,0,1772090,0,49
react-script-tag,adam-26/react-script-tag,0,0,0,0,23100,0,18
graceful-fs-extra,adam-lynch/graceful-fs-extra,0,0,0,0,41635,0,2
gulp-wrap,adamayres/gulp-wrap,0,0,0,0,144073,0,84
string-pixel-width,adambisek/string-pixel-width,0,0,0,0,22270,0,101
gulp-eslint,adametry/gulp-eslint,0,0,0,0,922527,0,565
tslint-stylish,adamfitzpatrick/tslint-stylish,0,1,0,0,16403,1,9
jest-webgl-canvas-mock,adamfsk/jest-webgl-canvas-mock,0,0,0,0,11302,0,19
ics,adamgibbons/ics,0,0,0,0,111886,0,669
mochawesome,adamgruber/mochawesome,0,0,0,0,1371954,0,1044
mochawesome-report-generator,adamgruber/mochawesome-report-generator,0,0,0,0,1478013,0,227
sass-extract-js,adamgruber/sass-extract-js,0,0,0,0,24724,0,110
uniqid,adamhalasz/uniqid,0,0,0,0,8209821,0,607
selenium-server-standalone-jar,adamhooper/selenium-server-standalone-jar,0,0,0,0,83882,0,30
express-brute,AdamPflug/express-brute,0,0,0,0,127495,0,566
replace-in-file,adamreisnz/replace-in-file,0,0,0,0,1076703,0,556
react-image-magnifiers,adamrisberg/react-image-magnifiers,0,0,0,0,20254,0,332
react-input-position,adamrisberg/react-input-position,0,0,0,0,29811,0,39
compound-subject,adamshaylor/compound-subject,0,0,0,0,268730,0,7
next-apollo,adamsoffer/next-apollo,0,0,0,0,25481,0,483
numeral,adamwdraper/Numeral-js,0,0,0,0,2866932,0,9581
react-router-named-routes,adamziel/react-router-named-routes,0,0,0,0,29130,0,102
dropbox-v2-api,adasq/dropbox-v2-api,0,0,0,0,23855,0,55
react-data-grid,adazzle/react-data-grid,0,0,0,0,889485,0,6539
lzma-native,addaleax/lzma-native,0,0,0,0,308483,0,102
munkres-js,addaleax/munkres-js,0,0,0,1,15048,1,62
natives,addaleax/natives,0,0,0,0,6040485,0,14
ember-charts,Addepar/ember-charts,1,1,0,0,21137,1,786
ember-table,Addepar/ember-table,0,0,0,0,42390,0,1694
fluxthis,addthis/fluxthis,1,0,0,0,13363,1,192
critical,addyosmani/critical,0,0,0,0,78792,0,9932
oust,addyosmani/oust,0,0,0,0,77686,0,178
timing.js,addyosmani/timing.js,0,0,0,0,15328,0,1502
react-paginate,AdeleD/react-paginate,0,0,0,0,879386,0,2709
sweet-modal-vue,adeptoas/sweet-modal-vue,0,0,0,0,18550,0,758
abe-cli,AdFabConnect/abejs,0,0,0,1,59125,1,2
ember-validated-form,adfinis-sygroup/ember-validated-form,0,0,0,0,13671,0,68
detect-msie,adi518/detect-ie,0,0,0,0,12111,0,2
storybook-addon-state,adierkens/storybook-addon-state,0,0,0,0,10766,0,17
webpack-inject-plugin,adierkens/webpack-inject-plugin,0,0,0,0,76165,0,98
@serverless-chrome/lambda,adieuadieu/serverless-chrome,0,0,0,0,18037,0,2830
@adiwajshing/baileys,adiwajshing/baileys,0,0,0,0,33099,0,NA
@adiwajshing/keyed-db,adiwajshing/keyed-db,0,0,0,0,19346,0,34
langs,adlawson/langs.js,0,0,0,0,129902,0,111
inspector,Admazely/inspector,0,0,0,0,21130,0,30
wd,admc/wd,0,0,0,0,670712,0,1528
mvcjs,AdminJuwel191/node-mvc,0,0,0,0,19843,0,15
lean-he,adnaan1703/lean-he,0,0,0,0,58716,0,9
balance-text,adobe-webplatform/balance-text,0,0,0,0,749141,0,1388
snapsvg,adobe-webplatform/Snap.svg,0,0,0,0,994138,0,13845
@adobe/aio-lib-core-logging,adobe/aio-lib-core-logging,0,0,0,0,11195,0,2
ferrum,adobe/ferrum,0,0,0,0,13699,0,512
@adobe/helix-cli,adobe/helix-cli,0,0,0,0,28653,0,46
@adobe/helix-log,adobe/helix-log,0,0,0,0,18225,0,3
@adobe/jsonschema2md,adobe/jsonschema2md,0,0,0,0,14173,0,569
@adobe/jwt-auth,adobe/jwt-auth,0,0,0,0,10614,0,16
@adobe/node-fetch-retry,adobe/node-fetch-retry,0,0,0,0,10260,0,42
@adobe/react-native-acpanalytics,adobe/react-native-acpanalytics,0,0,0,0,24008,0,23
@adobe/react-native-acpcore,adobe/react-native-acpcore,0,0,0,0,23542,0,24
dogui,adogio/dogUI,0,0,NA,0,14970,0,1
angular-base64-upload,adonespitogo/angular-base64-upload,0,0,0,1,18346,1,283
@adonisjs/ace,adonisjs/ace,0,0,0,0,47598,0,344
@adonisjs/bodyparser,adonisjs/adonis-bodyparser,0,0,0,0,40698,0,32
@adonisjs/cli,adonisjs/adonis-cli,1,0,0,0,25721,0,132
@adonisjs/cors,adonisjs/adonis-cors,1,0,0,0,33965,0,9
@adonisjs/framework,adonisjs/adonis-framework,0,0,0,0,34942,0,15212
@adonisjs/generic-exceptions,adonisjs/adonis-generic-exceptions,1,0,0,0,53454,0,10
@adonisjs/ignitor,adonisjs/adonis-ignitor,1,0,0,0,41924,1,18
@adonisjs/session,adonisjs/adonis-session,0,0,0,0,21172,0,32
@adonisjs/validator,adonisjs/adonis-validation-provider,0,0,0,0,31727,0,115
@adonisjs/vow,adonisjs/adonis-vow,1,0,0,0,17956,0,55
@adonisjs/application,adonisjs/application,0,0,0,0,10801,0,37
@adonisjs/auth,adonisjs/auth,0,0,0,0,36643,0,180
@adonisjs/lucid,adonisjs/lucid,0,0,0,0,40918,0,962
@adonisjs/mail,adonisjs/mail,0,0,0,0,16563,0,96
@adonisjs/redis,adonisjs/redis,0,0,0,0,11821,0,60
@adonisjs/shield,adonisjs/shield,0,0,0,0,19073,0,46
axios-jsonp,AdonisLau/axios-jsonp,0,0,0,0,39451,0,77
ember-collapsible-panel,adopted-ember-addons/ember-collapsible-panel,0,0,0,0,97749,0,57
ember-collection,adopted-ember-addons/ember-collection,0,0,0,0,97479,0,235
ember-data-factory-guy,adopted-ember-addons/ember-data-factory-guy,0,0,0,0,164890,0,301
ember-data-model-fragments,adopted-ember-addons/ember-data-model-fragments,0,0,0,0,110271,0,371
ember-file-upload,adopted-ember-addons/ember-file-upload,0,0,0,0,83217,0,199
ember-impagination,adopted-ember-addons/ember-impagination,0,0,0,0,41213,0,121
ember-keyboard,adopted-ember-addons/ember-keyboard,0,0,0,0,100117,0,173
ember-metrics,adopted-ember-addons/ember-metrics,0,0,0,0,66985,0,366
